豈 岂
鴣 鸪
𩧆 𩨐
隨 随
覓 觅
婦 妇
鍾 锺
嬪 嫔
飆 飙
幟 帜
須 须
糾 纠
碙 𥐻
㒓 𠉂
蒔 莳
矚 瞩
頃 顷
幣 币
歿 殁
挾 挟
髒 脏
撓 挠
暈 晕
騖 骛
斅 𢽾
鋅 锌
瀠 潆
標 标
圍 围
貿 贸
餭 𫗮
鯀 鲧
𩣏 𩧶
燴 烩
𩸃 𩾅
憫 悯
擠 挤
媼 媪
𨴗 𨸅
蒞 莅
顛 颠
䌥 𦈠
銪 铕
嫿 婳
𪘯 𪚐
憚 惮
櫞 橼
級 级
篩 筛
華 华
後 后
鯡 鲱
蘄 蕲
棡 㭎
熌 𤇄
釕 钌
殲 歼
鼴 鼹
碩 硕
䲁 鳚
喪 丧
媯 妫
採 采
記 记
騾 骡
辦 办
撲 扑
櫸 榉
榮 荣
睜 睁
䰾 鲃
漁 渔
鐘 钟
偵 侦
鵂 鸺
飣 饤
賒 赊
絕 绝
鐄 𨱑
漲 涨
鄴 邺
輥 辊
錇 锫
𨵸 𨸇
滿 满
飽 饱
褻 亵
腸 肠
導 导
釙 钋
錢 钱
嚴 严
饒 饶
襠 裆
係 系
嚌 哜
𪁈 𪉉
虜 虏
鎵 镓
盞 盏
嬤 嬷
𧔥 𧒭
癘 疠
倫 伦
薟 莶
懼 惧
𥽖 𥺇
諰 𫍰
鑔 镲
輳 辏
𩰀 𩬤
釅 酽
貢 贡
賰 䞐
繃 绷
謚 谥
圖 图
䥩 𨱖
鴰 鸹
嘸 呒
蕓 芸
慟 恸
鮃 鲆
銣 铷
聵 聩
趙 赵
飲 饮
閎 闳
𪋿 𪎍
搵 揾
戇 戆
憮 怃
還 还
腎 肾
鰻 鳗
獸 兽
鴷 䴕
𨤻 𨤰
癉 瘅
鈄 钭
錩 锠
診 诊
騮 骝
蠣 蛎
慪 怄
潤 润
膿 脓
鍥 锲
鋥 锃
簽 签
颱 台
襪 袜
單 单
劉 刘
絎 绗
賂 赂
叢 丛
鑱 镵
癟 瘪
籮 箩
鵁 䴔
鐓 镦
廄 厩
壢 坜
靜 静
瑪 玛
熅 煴
賄 贿
誹 诽
鋏 铗
災 灾
噦 哕
厙 厍
鴟 鸱
䦘 𨸄
馳 驰
塒 埘
囀 啭
賡 赓
覆 复
駚 𩧫
獲 获
謝 谢
鉺 铒
問 问
潛 潜
諫 谏
鷙 鸷
蘚 藓
捫 扪
𩥇 𩨍
撥 拨
無 无
瀟 潇
遙 遥
颼 飕
績 绩
紡 纺
狹 狭
鳧 凫
壟 垄
乾 干
闞 阚
𩤊 𩧩
闓 闿
嚕 噜
綽 绰
龭 𩨎
顱 颅
儻 傥
薌 芗
餾 馏
辭 辞
種 种
機 机
毆 殴
闐 阗
𧶔 𧹓
齷 龌
閼 阏
細 细
熗 炝
鏐 镠
殯 殡
懺 忏
鎘 镉
釷 钍
靈 灵
駛 驶
㩳 㧐
釣 钓
餘 馀
彲 彨
蠨 蟏
爺 爷
𨦫 䦀
碸 砜
鶊 鹒
𡓾 𡋀
訴 诉
摻 掺
餎 饹
鰤 𫚕
評 评
鄺 邝
鎖 锁
𦪽 𦨩
𨊻 𨐆
廡 庑
螮 䗖
貲 赀
梟 枭
錚 铮
憒 愦
𡑭 𡋗
趲 趱
薳 䓕
攣 挛
綀 𦈌
驕 骄
鷔 𪉑
鮐 鲐
鵜 鹈
頏 颃
軤 轷
隕 陨
璫 珰
𩥑 𩨌
爛 烂
鑌 镔
贇 赟
疊 叠
漣 涟
𡄣 𠵸
藎 荩
簞 箪
鍇 锴
勻 匀
獨 独
躚 跹
檢 检
銍 铚
釩 钒
鯤 鲲
訟 讼
龜 龟
𪘀 𪚏
黶 黡
猶 犹
倉 仓
褳 裢
餑 饽
緗 缃
鰹 鲣
驫 骉
當 当
願 𫖸
偑 㐽
蓋 盖
鶬 鸧
賺 赚
築 筑
鋸 锯
𩶰 𩽿
龔 龚
穎 颖
緦 缌
臢 臜
賭 赌
鳥 鸟
鮰 𫚔
鰣 鲥
鶘 鹕
𤳸 𤳄
䧢 𨸟
紈 纨
𩛆 𩠂
鴯 鸸
齙 龅
論 论
鞀 鼗
磧 碛
訶 诃
螢 萤
𩎢 𩏾
剾 𠛅
鏵 铧
訐 讦
櫥 橱
熱 热
輩 辈
綏 绥
劚 㔉
欽 钦
暢 畅
𥸠 𥮋
㑯 㑔
餷 馇
轆 辘
礄 硚
囂 嚣
鶡 鹖
羅 罗
繏 𦈝
誨 诲
鮒 鲋
鮟 𩽾
梔 栀
魎 魉
蔣 蒋
癩 癞
蓀 荪
嬋 婵
凱 凯
颰 𩙥
澅 𣶩
糹 纟
陸 陆
學 学
䉙 𥬀
絞 绞
飀 飗
撟 挢
偽 伪
鮓 鲊
躝 𨅬
蹕 跸
倲 㑈
簾 帘
貼 贴
蒼 苍
發 发
詒 诒
礬 矾
農 农
襉 裥
瘺 瘘
湯 汤
懲 惩
鮳 鲓
紓 纾
貳 贰
陳 陈
並 并
粵 粤
虛 虚
練 练
鶒 𫛶
謾 谩
統 统
蠱 蛊
跡 迹
齏 齑
準 准
叄 叁
䉲 𥮜
漵 溆
綜 综
